
nvidia@nvidia-desktop:~/Desktop$ python3 6imu.py
IMU 0 initialized on TCA Channel 0
IMU 1 initialized on TCA Channel 1
IMU 2 initialized on TCA Channel 2
IMU 3 initialized on TCA Channel 3
IMU 4 initialized on TCA Channel 4
IMU 5 initialized on TCA Channel 5

Starting data stream (50Hz)... Press Ctrl+C to stop.

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
   1.183 | 0  |    0.878   -0.053   -0.527 |  -174.3   -58.4   -29.4
   1.183 | 1  |         Comm Error         |            -           
   1.183 | 2  |    0.133    0.227    0.984 |    13.0    -7.6  -102.6
   1.183 | 3  |         Comm Error         |            -           
   1.183 | 4  |         Comm Error         |            -           
   1.183 | 5  |    0.966   -0.051    0.276 |   -10.4   -73.0   -21.6
   1.220 | 0  |    0.871   -0.047   -0.526 |  -174.5   -58.4   -29.3
   1.220 | 1  |         Comm Error         |            -           
   1.220 | 2  |    0.145    0.223    0.970 |    13.0    -7.7  -102.6
   1.220 | 3  |         Comm Error         |            -           
   1.220 | 4  |         Comm Error         |            -           
   1.220 | 5  |    0.963   -0.052    0.273 |   -10.3   -73.0   -21.7
   1.258 | 0  |    0.870   -0.042   -0.526 |  -174.8   -58.5   -29.0
   1.258 | 1  |         Comm Error         |            -           
   1.258 | 2  |    0.139    0.224    0.965 |    13.0    -7.8  -102.6
   1.258 | 3  |         Comm Error         |            -           
   1.258 | 4  |         Comm Error         |            -           
   1.258 | 5  |    0.963   -0.050    0.279 |   -10.2   -73.0   -21.9
   1.298 | 0  |    0.871   -0.041   -0.528 |  -175.1   -58.5   -28.8
   1.298 | 1  |         Comm Error         |            -           
   1.298 | 2  |    0.145    0.224    0.967 |    13.0    -8.0  -102.6
   1.298 | 3  |         Comm Error         |            -           
   1.298 | 4  |         Comm Error         |            -           
   1.298 | 5  |    0.964   -0.049    0.279 |   -10.1   -72.9   -22.0
   1.336 | 0  |    0.884   -0.042   -0.530 |  -175.3   -58.6   -28.6
   1.336 | 1  |         Comm Error         |            -           
   1.336 | 2  |    0.134    0.223    0.965 |    13.0    -8.0  -102.6
   1.336 | 3  |         Comm Error         |            -           
   1.336 | 4  |         Comm Error         |            -           
   1.336 | 5  |    0.964   -0.053    0.285 |   -10.2   -72.9   -22.0
   1.374 | 0  |    0.890   -0.042   -0.533 |  -175.5   -58.6   -28.5
   1.374 | 1  |         Comm Error         |            -           
   1.374 | 2  |    0.144    0.234    0.971 |    13.1    -8.0  -102.6
   1.374 | 3  |         Comm Error         |            -           
   1.374 | 4  |         Comm Error         |            -           
