
Stream stopped by user.
nvidia@nvidia-desktop:~/Desktop$ python3 6imu.py
IMU 0 initialized on TCA Channel 0
IMU 1 initialized on TCA Channel 1
IMU 2 initialized on TCA Channel 2
IMU 3 initialized on TCA Channel 3
IMU 4 initialized on TCA Channel 4
IMU 5 initialized on TCA Channel 5

Starting data stream (50Hz)... Press Ctrl+C to stop.

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
   0.809 | 0  |    0.714   -0.064   -0.730 |  -175.2   -44.3  -159.3
   0.809 | 1  |         Comm Error         |            -           
   0.809 | 2  |    0.202   -0.961   -0.110 |   -96.3   -11.9   -56.0
   0.809 | 3  |         Comm Error         |            -           
   0.809 | 4  |         Comm Error         |            -           
   0.809 | 5  |    0.978   -0.081    0.214 |   -20.0   -76.0    52.3
   0.847 | 0  |    0.712   -0.068   -0.728 |  -175.1   -44.2  -159.4
   0.847 | 1  |         Comm Error         |            -           
   0.847 | 2  |    0.197   -0.966   -0.113 |   -96.3   -11.7   -56.0
   0.847 | 3  |         Comm Error         |            -           
   0.847 | 4  |         Comm Error         |            -           
   0.847 | 5  |    0.980   -0.085    0.209 |   -20.2   -76.0    52.6
   0.886 | 0  |    0.710   -0.070   -0.729 |  -175.0   -44.1  -159.4
   0.886 | 1  |         Comm Error         |            -           
   0.886 | 2  |    0.197   -0.969   -0.115 |   -96.3   -11.6   -56.0
   0.886 | 3  |         Comm Error         |            -           
   0.886 | 4  |         Comm Error         |            -           
   0.886 | 5  |    0.979   -0.084    0.209 |   -20.5   -76.1    52.9
   0.924 | 0  |    0.710   -0.068   -0.727 |  -175.0   -44.1  -159.4
   0.924 | 1  |         Comm Error         |            -           
   0.924 | 2  |    0.199   -0.970   -0.108 |   -96.3   -11.6   -55.9
   0.924 | 3  |         Comm Error         |            -           
   0.924 | 4  |         Comm Error         |            -           
   0.924 | 5  |    0.979   -0.086    0.210 |   -20.7   -76.1    53.2
   0.961 | 0  |    0.709   -0.063   -0.727 |  -175.0   -44.1  -159.4
   0.961 | 1  |         Comm Error         |            -           
   0.961 | 2  |    0.202   -0.969   -0.105 |   -96.3   -11.6   -55.9
   0.961 | 3  |         Comm Error         |            -           
   0.961 | 4  |         Comm Error         |            -           
   0.961 | 5  |    0.980   -0.086    0.211 |   -21.0   -76.1    53.5
   1.002 | 0  |    0.709   -0.061   -0.727 |  -175.0   -44.1  -159.3
   1.002 | 1  |         Comm Error         |            -           
   1.002 | 2  |    0.201   -0.969   -0.106 |   -96.2   -11.6   -55.9
   1.002 | 3  |         Comm Error         |            -           
   1.002 | 4  |         Comm Error         |            -           
   1.002 | 5  |    0.979   -0.087    0.210 |   -21.2   -76.1    53.7
   1.040 | 0  |    0.714   -0.062   -0.732 |  -175.1   -44.1  -159.3
   1.040 | 1  |         Comm Error         |            -           
   1.040 | 2  |    0.199   -0.969   -0.108 |   -96.2   -11.5   -55.9
   1.040 | 3  |         Comm Error         |            -           
   1.040 | 4  |         Comm Error         |            -           
   1.040 | 5  |    0.980   -0.087    0.210 |   -21.4   -76.1    53.9
   1.080 | 0  |    0.713   -0.063   -0.734 |  -175.1   -44.1  -159.3
   1.080 | 1  |         Comm Error         |            -           
   1.080 | 2  |    0.196   -0.966   -0.110 |   -96.1   -11.5   -55.9
   1.080 | 3  |         Comm Error         |            -           
   1.080 | 4  |         Comm Error         |            -           
   1.080 | 5  |    0.979   -0.084    0.207 |   -21.4   -76.1    53.9
   1.118 | 0  |    0.715   -0.068   -0.736 |  -175.0   -44.1  -159.4
   1.118 | 1  |         Comm Error         |            -           
   1.118 | 2  |    0.201   -0.967   -0.110 |   -96.1   -11.5   -55.9
   1.118 | 3  |         Comm Error         |            -           
   1.118 | 4  |         Comm Error         |            -           
   1.118 | 5  |    0.980   -0.084    0.216 |   -21.4   -76.1    53.8
