
IMU Data Stream (50Hz)

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
    0.616 | 1  |    0.301   -0.945    0.119 |    -82.3    -17.9    130.7
    0.616 | 2  |    0.278    0.962    0.097 |     83.8    -16.1      3.2
    0.616 | 3  |    0.991   -0.028    0.260 |     -6.8    -74.4   -166.0
    0.616 | 4  |    1.010   -0.012    0.007 |    -53.9    -85.2   -158.9
    0.616 | 5  |    1.015   -0.082   -0.151 |   -149.6    -79.3    -21.7
    0.650 | 1  |    0.302   -0.944    0.114 |    -82.3    -17.9    130.7
    0.650 | 2  |    0.276    0.962    0.098 |     83.8    -16.1      3.2
    0.650 | 3  |    0.990   -0.032    0.258 |     -6.8    -74.4   -166.0
    0.650 | 4  |    1.010   -0.015    0.006 |    -54.1    -85.2   -158.7
    0.650 | 5  |    1.018   -0.090   -0.157 |   -149.6    -79.3    -21.7
    0.685 | 1  |    0.304   -0.945    0.112 |    -82.4    -17.8    130.8
    0.685 | 2  |    0.280    0.968    0.097 |     83.8    -16.1      3.2
    0.685 | 3  |    0.990   -0.031    0.256 |     -6.8    -74.4   -166.0
    0.685 | 4  |    1.010   -0.013    0.005 |    -54.5    -85.2   -158.2
    0.685 | 5  |    1.017   -0.086   -0.148 |   -149.5    -79.3    -21.9
    0.719 | 1  |    0.308   -0.945    0.109 |    -82.4    -17.8    130.8
    0.719 | 2  |    0.276    0.968    0.098 |     83.8    -16.0      3.2
    0.719 | 3  |    0.990   -0.029    0.253 |     -6.8    -74.4   -166.0
    0.719 | 4  |    1.011   -0.018    0.007 |    -53.9    -85.2   -158.6
    0.719 | 5  |    1.017   -0.087   -0.161 |   -149.7    -79.3    -21.8
    0.754 | 1  |    0.311   -0.942    0.109 |    -82.5    -17.8    130.8
    0.754 | 2  |    0.283    0.965    0.096 |     83.8    -16.1      3.2
    0.754 | 3  |    0.993   -0.032    0.257 |     -6.9    -74.5   -166.0
    0.754 | 4  |    1.009   -0.018    0.004 |    -55.4    -85.2   -157.3
    0.754 | 5  |    1.017   -0.085   -0.155 |   -149.8    -79.2    -21.7
    0.788 | 1  |    0.313   -0.943    0.112 |    -82.6    -17.8    130.8
    0.788 | 2  |    0.282    0.967    0.097 |     83.8    -16.1      3.1
    0.788 | 3  |    0.990   -0.031    0.253 |     -6.9    -74.5   -166.1
    0.788 | 4  |    1.007   -0.008    0.003 |    -55.5    -85.2   -156.6
    0.788 | 5  |    1.018   -0.084   -0.153 |   -149.9    -79.3    -21.6
    0.822 | 1  |    0.314   -0.941    0.113 |    -82.7    -17.9    130.7
    0.822 | 2  |    0.276    0.968    0.099 |     83.8    -16.0      3.1
    0.822 | 3  |    0.985   -0.032    0.250 |     -7.0    -74.6   -166.0
