nvidia@nvidia-desktop:~/Desktop$ python3 6imu.py
IMU 0 initialized on TCA Channel 0
IMU 1 initialized on TCA Channel 1
IMU 2 initialized on TCA Channel 2
IMU 3 initialized on TCA Channel 3
IMU 4 initialized on TCA Channel 4
IMU 5 initialized on TCA Channel 5

Starting data stream (50Hz)... Press Ctrl+C to stop.

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
   1.263 | 0  |    0.709   -0.060   -0.724 |  -175.8   -44.4  -179.2
   1.263 | 1  |         Comm Error         |            -           
   1.263 | 2  |    0.865   -0.466    0.228 |   -65.4   -58.4   -73.8
   1.263 | 3  |         Comm Error         |            -           
   1.263 | 4  |         Comm Error         |            -           
   1.263 | 5  |    0.981   -0.030    0.225 |    -8.6   -76.3    52.7
   1.302 | 0  |    0.705   -0.067   -0.732 |  -175.6   -44.2  -179.5
   1.302 | 1  |         Comm Error         |            -           
   1.302 | 2  |    0.855   -0.435    0.237 |   -62.2   -59.7   -77.0
   1.302 | 3  |         Comm Error         |            -           
   1.302 | 4  |         Comm Error         |            -           
   1.302 | 5  |    0.979   -0.031    0.215 |    -8.4   -76.4    52.5
   1.340 | 0  |    0.711   -0.067   -0.733 |  -175.4   -44.2  -179.6
   1.340 | 1  |         Comm Error         |            -           
   1.340 | 2  |    0.875   -0.410    0.242 |   -59.4   -60.9   -79.9
   1.340 | 3  |         Comm Error         |            -           
   1.340 | 4  |         Comm Error         |            -           
   1.340 | 5  |    0.980   -0.033    0.220 |    -8.4   -76.4    52.5
   1.378 | 0  |    0.714   -0.063   -0.735 |  -175.4   -44.1  -179.6
   1.378 | 1  |         Comm Error         |            -           
   1.378 | 2  |    0.899   -0.389    0.248 |   -56.4   -62.0   -82.9
   1.378 | 3  |         Comm Error         |            -           
   1.378 | 4  |         Comm Error         |            -           
   1.378 | 5  |    0.983   -0.032    0.218 |    -8.3   -76.4    52.4
   1.419 | 0  |    0.710   -0.056   -0.737 |  -175.5   -44.1  -179.5
   1.419 | 1  |         Comm Error         |            -           
   1.419 | 2  |    0.893   -0.357    0.258 |   -53.2   -63.0   -86.0
   1.419 | 3  |         Comm Error         |            -           
   1.419 | 4  |         Comm Error         |            -           
   1.419 | 5  |    0.980   -0.035    0.218 |    -8.3   -76.3    52.5
   1.457 | 0  |    0.712   -0.051   -0.735 |  -175.6   -44.0  -179.3
   1.457 | 1  |         Comm Error         |            -           
   1.457 | 2  |    0.894   -0.336    0.265 |   -49.8   -63.8   -89.2
   1.457 | 3  |         Comm Error         |            -           
   1.457 | 4  |         Comm Error         |            -           
   1.457 | 5  |    0.980   -0.033    0.223 |    -8.3   -76.3    52.5
   1.495 | 0  |    0.712   -0.046   -0.734 |  -175.8   -44.0  -179.1
   1.495 | 1  |         Comm Error         |            -           
   1.495 | 2  |    0.902   -0.319    0.274 |   -46.6   -64.6   -92.3
   1.495 | 3  |         Comm Error         |            -           
   1.495 | 4  |         Comm Error         |            -           
   1.495 | 5  |    0.982   -0.027    0.219 |    -8.0   -76.3    52.3
   1.534 | 0  |    0.711   -0.046   -0.731 |  -176.0   -44.0  -178.9
   1.534 | 1  |         Comm Error         |            -           
   1.534 | 2  |    0.903   -0.291    0.283 |   -44.2   -65.1   -94.6
   1.534 | 3  |         Comm Error         |            -           
   1.534 | 4  |         Comm Error         |            -           
   1.534 | 5  |    0.980   -0.032    0.214 |    -7.9   -76.3    52.3
   1.571 | 0  |    0.708   -0.048   -0.728 |  -176.1   -44.0  -178.8
   1.571 | 1  |         Comm Error         |            -           
   1.571 | 2  |    0.912   -0.254    0.288 |   -40.9   -65.8   -97.9
   1.571 | 3  |         Comm Error         |            -           
   1.571 | 4  |         Comm Error         |            -           
   1.571 | 5  |    0.980   -0.029    0.216 |    -7.8   -76.4    52.3
   1.612 | 0  |    0.709   -0.043   -0.728 |  -176.2   -44.0  -178.7
   1.612 | 1  |         Comm Error         |            -           
   1.612 | 2  |    0.912   -0.245    0.303 |   -37.5   -66.2  -101.2
   1.612 | 3  |         Comm Error         |            -           
   1.612 | 4  |         Comm Error         |            -           
   1.612 | 5  |    0.980   -0.029    0.215 |    -7.7   -76.4    52.2
   1.650 | 0  |    0.710   -0.041   -0.726 |  -176.3   -44.1  -178.6
   1.650 | 1  |         Comm Error         |            -           
   1.650 | 2  |    0.911   -0.228    0.320 |   -34.2   -66.4  -104.6
   1.650 | 3  |         Comm Error         |            -           
   1.650 | 4  |         Comm Error         |            -           
   1.650 | 5  |    0.980   -0.027    0.214 |    -7.6   -76.4    52.1
   1.688 | 0  |    0.709   -0.043   -0.723 |  -176.4   -44.1  -178.6
   1.688 | 1  |         Comm Error         |            -           
